Titre,Lien,Prix,Offres,Catégorie
Recherche Expert Shopify pour mission urgente – Problème d’automatisat,https://www.codeur.com/projects/447911-recherche-expert-shopify-pour-mission-urgente-probleme-d-automatisat,Non spécifié,20 offres,Systèmes d'entreprise
Formateur agile,https://www.codeur.com/projects/447907-formateur-agile,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Office Manager - Assistante virtuelle pour executive,https://www.codeur.com/projects/447901-office-manager-assistante-virtuelle-pour-executive,Non spécifié,7 offres,Systèmes d'entreprise
Installation d'un SMTP Local pour envoyer des emails de masse,https://www.codeur.com/projects/436517-installation-d-un-smtp-local-pour-envoyer-des-emails-de-masse,1 000 € à 10 000 €,Non spécifié,Systèmes d'entreprise
Développement d'un jeu mobile Android avec interface simple et pub,https://www.codeur.com/projects/447887-creation-d-application,Non spécifié,24 offres,Systèmes d'entreprise
Recherche Consultant Recrutement Indépendant,https://www.codeur.com/projects/443625-recherche-consultant-recrutement-independant,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Recherche développeur,https://www.codeur.com/projects/406376-recherche-developpeur,Non spécifié,16 offres,Systèmes d'entreprise
Bot ia memecoins,https://www.codeur.com/projects/447864-bot-ia-memecoins,Moins de 500 €,Non spécifié,Systèmes d'entreprise
CRM Pipedrive,https://www.codeur.com/projects/447856-crm-pipedrive,Non spécifié,8 offres,Systèmes d'entreprise
Recherche développeur EDI Divalto Weavy / Sage 100c sql,https://www.codeur.com/projects/447835-recherche-developpeur-edi-divalto-weavy-sage-100c-sql,Moins de 500 €,Non spécifié,Systèmes d'entreprise
"Bonjour,",https://www.codeur.com/projects/447822-bonjour,Non spécifié,4 offres,Systèmes d'entreprise
Configuration de proxmox mail,https://www.codeur.com/projects/447819-configuration-de-proxmox-mail,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Freelance spécialiser en Webmarketing,https://www.codeur.com/projects/444165-freelance-specialiser-en-webmarketing,Non spécifié,3 offres,Systèmes d'entreprise
Création d'application ou logiciel sur site web,https://www.codeur.com/projects/447802-creation-d-application-ou-logiciel-sur-site-web,1 000 € à 10 000 €,Non spécifié,Systèmes d'entreprise
Intégration EPR Axelor en version communautaire,https://www.codeur.com/projects/447798-integration-epr-axelor-en-version-communautaire,Non spécifié,42 offres,Systèmes d'entreprise
Amazon bot,https://www.codeur.com/projects/447799-amazon-bot,Plus de 10 000 €,Non spécifié,Systèmes d'entreprise
Développement d'une application Android de petites annonces avec pub,https://www.codeur.com/projects/447797-creation-d-application,Non spécifié,20 offres,Systèmes d'entreprise
Animation Formation CCstudio,https://www.codeur.com/projects/447790-animation-formation-ccstudio,Moins de 500 €,Non spécifié,Systèmes d'entreprise
Publicité Facebook ads pour e-commerce.,https://www.codeur.com/projects/448122,Moins de 500 €,Non spécifié,Services
"Site: e-book , vidéos, storytelling pour coach / astrologue",https://www.codeur.com/projects/448120-site-e-book-videos-storytelling-pour-coach-astrologue,Non spécifié,6 offres,Services
Recherche commercial(e) indépendant(e),https://www.codeur.com/projects/448097-recherche-commercial-e-independant-e,Moins de 500 €,Non spécifié,Services
Entreprise de nettoyage de cherche des clients professionnel : des bur,https://www.codeur.com/projects/448074-entreprise-de-nettoyage-de-cherche-des-clients-professionnel-des-bur,Non spécifié,5 offres,Services
Formation de web,https://www.codeur.com/projects/448040-formation-de-web,1 000 € à 10 000 €,Non spécifié,Services
À la recherche d’un Spécialiste Indépendant en Marketing E-Commerce,https://www.codeur.com/projects/448038-a-la-recherche-d-un-specialiste-independant-en-marketing-e-commerce,Non spécifié,2 offres,Services
Traducteur vidéo call,https://www.codeur.com/projects/448037-traducteur-video-call,Moins de 500 €,Non spécifié,Services
Recherche de revendeurs,https://www.codeur.com/projects/448010-recherche-de-revendeurs,Non spécifié,1 offre,Services
Recherche téléprospecteur commerciale,https://www.codeur.com/projects/447991-recherche-teleprospecteur-commerciale,Moins de 500 €,Non spécifié,Services
Assistant virtuel,https://www.codeur.com/projects/440858-assistant-virtuel,Non spécifié,5 offres,Services
Appel téléphonique,https://www.codeur.com/projects/447980-appel-telephonique,Moins de 500 €,Non spécifié,Services
Amazon FBA Seller Assistant Virtuelle,https://www.codeur.com/projects/447978-amazon-fba-seller-assistant-virtuelle,Non spécifié,8 offres,Services
"Publication, réponses aux commentaires, routine d'engagement.",https://www.codeur.com/projects/447966-publication-reponses-aux-commentaires-routine-d-engagement,Moins de 500 €,Non spécifié,Services
"Recherche freelance pour trouver des leads, mails optimisation air bnb",https://www.codeur.com/projects/447951,Non spécifié,2 offres,Services
1000 fiches séries,https://www.codeur.com/projects/447941-1000-fiches-series,500 € à 1 000 €,Non spécifié,Services
Promouvoir la marque sur les reseaux,https://www.codeur.com/projects/447916-promouvoir-la-marque-sur-les-reseaux,Non spécifié,2 offres,Services
Formateur agile,https://www.codeur.com/projects/447907-formateur-agile,Plus de 10 000 €,Non spécifié,Services
Office Manager - Assistante virtuelle pour executive,https://www.codeur.com/projects/447901-office-manager-assistante-virtuelle-pour-executive,Non spécifié,2 offres,Services
Recherche Consultant Recrutement Indépendant,https://www.codeur.com/projects/443625-recherche-consultant-recrutement-independant,500 € à 1 000 €,Non spécifié,Services
Campagne publicitaire réseaux sociaux pour augmenter les ventes,https://www.codeur.com/projects/447863-creation-d-une-campagne-de-publicite-sur-instagram,Non spécifié,10 offres,Services
"Rejoignez SFEIRA, une entreprise dynamique et innovante, en tant qu'ag",https://www.codeur.com/projects/447858-rejoignez-sfeira-une-entreprise-dynamique-et-innovante-en-tant-qu-ag,Moins de 500 €,Non spécifié,Services
Pouvoir faire de la pub sur Google ads,https://www.codeur.com/projects/447846,Non spécifié,5 offres,Services
Développement application iPhone de jeu avec publicité intégrée,https://www.codeur.com/projects/447834-creation-d-application,500 € à 1 000 €,Non spécifié,Services
Secrétaire indépendante,https://www.codeur.com/projects/447823-secretaire-independante,Non spécifié,5 offres,Services
Recherche expert e-commerce / dropshipping,https://www.codeur.com/projects/447817-recherche-expert-e-commerce-dropshipping,Moins de 500 €,Non spécifié,Services
Freelance spécialiser en Webmarketing,https://www.codeur.com/projects/444165-freelance-specialiser-en-webmarketing,Non spécifié,7 offres,Services
Développement d'une application Android de petites annonces avec pub,https://www.codeur.com/projects/447797-creation-d-application,Moins de 500 €,Non spécifié,Services
Animation Formation CCstudio,https://www.codeur.com/projects/447790-animation-formation-ccstudio,Non spécifié,6 offres,Services
Bilan comptable,https://www.codeur.com/projects/447789-bilan-comptable,Moins de 500 €,Non spécifié,Services
"Tournage d'une publicité format réseau sociaux, Facebook, snap, insta",https://www.codeur.com/projects/447778-tournage-d-une-publicite-format-reseau-sociaux-facebook-snap-insta,Non spécifié,16 offres,Services
Conception buisness model startup,https://www.codeur.com/projects/447774-conception-buisness-model-startup,500 € à 1 000 €,Non spécifié,Services
Besoin d'attirer plus de clients avec des campagnes publicitaires rent,https://www.codeur.com/projects/447777-besoin-d-attirer-plus-de-clients-avec-des-campagnes-publicitaires-rent,Non spécifié,9 offres,Services
Avoir des leads chaud : assurance et énergie,https://www.codeur.com/projects/447767,Moins de 500 €,Non spécifié,Services
Mise en place d'une solution d'acquisition,https://www.codeur.com/projects/447760-mise-en-place-d-une-solution-d-acquisition,Non spécifié,7 offres,Services
Production de contenus Instagram/ facebook et mise en place budget pub,https://www.codeur.com/projects/447754-production-de-contenus-instagram-facebook-et-mise-en-place-budget-pub,Moins de 500 €,Non spécifié,Services
